Player,role
David Raum,Defender
Florian Grillitsch,Defender
Andrej Kramarić,Forward
Benjamin Hübner,Defender
Dennis Geiger,Midfielder
Georginio Rutter,Forward
Diadié Samassékou,Midfielder
Oliver Baumann,Goalkeeper
Ihlas Bebou,Forward
Christoph Baumgartner,Midfielder
Chris Richards,Defender
Pavel Kadeřábek,Defender
Håvard Nordtveit,Defender
Stefan Posch,Defender
Angelo Stiller,Midfielder
Munas Dabbur,Forward
Robert Skov,Midfielder
Kevin Vogt,Defender
Jacob Bruun Larsen,Forward
Kevin Akpoguma,Defender
Sebastian Rudy,Midfielder
Sargis Adamyan,Forward
Mijat Gaćinović,Midfielder
Justin Che,Defender
Philipp Pentke,Goalkeeper
Marco John,Defender
Fisnik Asllani,Forward
Tom Bischof,Midfielder
Nick Proschwitz,Forward
