Player,role
Erling Haaland,Forward
Julian Brandt,Midfielder
Marco Reus,Midfielder
Mats Hummels,Defender
Emre Can,Midfielder
Donyell Malen,Forward
Jude Bellingham,Midfielder
Manuel Akanji,Defender
Mahmoud Dahoud,Midfielder
Thomas Meunier,Defender
Steffen Tigges,Forward
Raphaël Guerreiro,Defender
Tom Rothe,Defender
Giovanni Reyna,Midfielder
Axel Witsel,Midfielder
Gregor Kobel,Goalkeeper
Lennard Maloney,Defender
Thorgan Hazard,Midfielder
Jamie Bynoe-Gittens,Midfielder
Dan-Axel Zagadou,Defender
Nico Schulz,Defender
Felix Passlack,Defender
Marin Pongračić,Defender
Marius Wolf,Defender
Youssoufa Moukoko,Forward
Reinier,Midfielder
Marwin Hitz,Goalkeeper
Antonios Papadopoulos,Defender
Roman Bürki,Goalkeeper
Thomas Delaney,Midfielder
