Player,role
Jeremiah St. Juste,Defender
Anton Stach,Midfielder
Alexander Hack,Defender
Aarón Martín,Midfielder
Silvan Widmer,Midfielder
Moussa Niakhaté,Defender
Robin Zentner,Goalkeeper
Jae-Sung Lee,Midfielder
Jean-Paul Boëtius,Midfielder
Leandro Barreiro,Midfielder
Jonathan Burkardt,Forward
Kevin Stöger,Midfielder
Karim Onisiwo,Forward
Stefan Bell,Defender
Marcus Ingvartsen,Forward
Daniel Brosinski,Midfielder
Dominik Kohr,Midfielder
Anderson-Lenda Lucoqui,Defender
Delano Burgzorg,Midfielder
Ádám Szalai,Forward
Paul Nebel,Midfielder
Matondo-Merveille Papela,Midfielder
David Nemeth,Defender
Finn Gilbert Dahmen,Goalkeeper
Niklas Tauer,Midfielder
Stephan Fürstner,Midfielder
