Player,role
Marvin Plattenhardt,Defender
Stevan Jovetić,Forward
Maximilian Mittelstädt,Defender
Jordan Torunarigha,Defender
Marc-Oliver Kempf,Defender
Marco Richter,Midfielder
Vladimír Darida,Midfielder
Santiago Ascacibar,Midfielder
Niklas Stark,Defender
Suat Serdar,Midfielder
Ishak Belfodil,Forward
Dedryck Boyata,Defender
Matheus Cunha,Forward
Luca Wollschläger,Forward
Davie Selke,Forward
Lucas Tousart,Midfielder
Linus Gechter,Defender
Kevin-Prince Boateng,Midfielder
Peter Pekarík,Defender
Jurgen Ekkelenkamp,Midfielder
Alexander Schwolow,Goalkeeper
Marten Winkler,Forward
Dennis Jastrzembski,Midfielder
Márton Dárdai,Defender
Marcel Lotka,Goalkeeper
Krzysztof Piątek,Forward
Deyovaisio Zeefuik,Defender
Myziane Maolida,Forward
Lukas Klünter,Defender
Julian Eitschberger,Defender
Fredrik André Bjørkan,Defender
Cimo Röcker,Defender
Javairô Dilrosun,Midfielder
Anton Kade,Midfielder
Dong-jun Lee,Midfielder
