Player,role
Filip Kostić,Midfielder
Evan Ndicka,Defender
Diant Ramaj,Goalkeeper
Kevin Trapp,Goalkeeper
Christopher Lenz,Defender
Tuta,Defender
Rafael Santos Borré,Forward
Jesper Lindstrøm,Forward
Djibril Sow,Midfielder
Daichi Kamada,Midfielder
Makoto Hasebe,Defender
Erik Durm,Defender
Martin Hinteregger,Defender
Gonçalo Paciência,Forward
Ansgar Knauff,Midfielder
Sebastian Rode,Midfielder
Stefan Ilsanker,Defender
Ajdin Hrustić,Midfielder
Jens Petter Hauge,Forward
Ragnar Ache,Forward
Timothy Chandler,Midfielder
Sam Lammers,Forward
Aymen Barkok,Midfielder
Kristijan Jakić,Midfielder
Danny da Costa,Midfielder
Almamy Touré,Defender
Jens Grahl,Goalkeeper
