Player,role
Jonas Hofmann,Midfielder
Alassane Pléa,Midfielder
Breel Embolo,Forward
Lars Stindl,Midfielder
Yann Sommer,Goalkeeper
Matthias Ginter,Defender
Florian Neuhaus,Midfielder
Ramy Bensebaini,Defender
Kouadio Koné,Midfielder
Denis Zakaria,Midfielder
Tony Jantschke,Defender
Marvin Friedrich,Defender
Nico Elvedi,Defender
Jordan Beyer,Defender
Patrick Herrmann,Forward
Marcus Thuram,Forward
László Bénes,Midfielder
Christoph Kramer,Midfielder
Hannes Wolf,Midfielder
Joseph Scally,Defender
Stefan Lainer,Defender
Tobias Sippel,Goalkeeper
Conor Noß,Forward
Luca Netz,Defender
Keanan Bennetts,Midfielder
