Player,role
Florian Wirtz,Midfielder
Patrik Schick,Forward
Kerem Demirbay,Midfielder
Lennart Grill,Goalkeeper
Moussa Diaby,Midfielder
Edmond Tapsoba,Defender
Lukáš Hrádecký,Goalkeeper
Jonathan Tah,Defender
Robert Andrich,Midfielder
Charles Aránguiz,Midfielder
Exequiel Palacios,Midfielder
Amine Adli,Forward
Paulinho,Forward
Sardar Azmoun,Forward
Lucas Alario,Forward
Piero Hincapié,Defender
Karim Bellarabi,Midfielder
Timothy Fosu-Mensah,Defender
Jeremie Frimpong,Defender
Odilon Kossounou,Defender
Mitchel Bakker,Defender
Nadiem Amiri,Midfielder
Iker Bravo,Forward
Andrey Lunev,Goalkeeper
Zidan Sertdemir,Midfielder
Julian Baumgartlinger,Midfielder
Daley Sinkgraven,Defender
Joel Pohjanpalo,Forward
Panagiotis Retsos,Defender
