Player,role
Anthony Modeste,Forward
Ellyes Skhiri,Midfielder
Timo Hübers,Defender
Mark Uth,Midfielder
Florian Kainz,Midfielder
Jonas Hector,Defender
Marvin Schwäbe,Goalkeeper
Salih Özcan,Midfielder
Rafael Czichos,Defender
Kingsley Ehizibue,Defender
Benno Schmitz,Defender
Jan Thielmann,Midfielder
Luca Kilian,Defender
Timo Horn,Goalkeeper
Dejan Ljubičić,Midfielder
Ondrej Duda,Midfielder
Sebastian Andersson,Forward
Julian Chabot,Defender
Louis Schaub,Midfielder
Kingsley Schindler,Midfielder
Jannes Horn,Defender
Tim Lemperle,Forward
Jorge Meré,Defender
Mathias Olesen,Midfielder
Noah Katterbach,Defender
Tomáš Ostrák,Midfielder
