Player,role
Nico Schlotterbeck,Defender
Vincenzo Grifo,Midfielder
Lucas Höler,Forward
Nicolas Höfler,Midfielder
Philipp Lienhart,Defender
Mark Flekken,Goalkeeper
Christian Günter,Defender
Lukas Kübler,Defender
Roland Sallai,Midfielder
Jonathan Schmid,Midfielder
Keven Schlotterbeck,Defender
Woo-Yeong Jeong,Midfielder
Nils Petersen,Forward
Maximilian Eggestein,Midfielder
Kevin Schade,Forward
Manuel Gulde,Defender
Janik Haberer,Midfielder
Ermedin Demirović,Forward
Kiliann Sildillia,Defender
Noah Weißhaupt,Midfielder
Baptiste Santamaria,Midfielder
Yannik Keitel,Midfielder
Hugo Siquet,Midfielder
Benjamin Uphoff,Goalkeeper
