Player,role
Reece Oxford,Defender
Michael Gregoritsch,Forward
Niklas Dorsch,Midfielder
Iago,Defender
Arne Maier,Midfielder
Daniel Caligiuri,Midfielder
Jeffrey Gouweleeuw,Defender
Rafał Gikiewicz,Goalkeeper
Alfreð Finnbogason,Forward
André Hahn,Midfielder
Florian Niederlechner,Forward
Frederik Winther,Defender
Mads Pedersen,Defender
Fredrik Jensen,Midfielder
Raphael Framberger,Defender
Ricardo Pepi,Forward
Noah Joel Sarenren Bazee,Forward
Lasse Günther,Defender
Tobias Strobl,Midfielder
Andi Zeqiri,Forward
Robert Gumny,Defender
Ruben Vargas,Midfielder
Carlos Gruezo,Midfielder
Felix Uduokhai,Defender
Jan Morávek,Midfielder
Sergio Córdova,Forward
