Player,role
Borna Sosa,Defender
Philipp Klement,Midfielder
Konstantinos Mavropanos,Defender
Saša Kalajdžić,Forward
Chris Führich,Midfielder
Fabian Bredlow,Goalkeeper
Wataru Endo,Midfielder
Clinton Mola,Defender
Atakan Karazor,Midfielder
Hiroki Ito,Defender
Waldemar Anton,Defender
Omar Marmoush,Forward
Wahid Faghir,Forward
Pascal Stenzel,Defender
Tiago Tomás,Forward
Hamadi Al Ghaddioui,Forward
Philipp Förster,Midfielder
Erik Thommy,Midfielder
Florian Müller,Goalkeeper
Daniel Didavi,Midfielder
Orel Mangala,Midfielder
Alexis Tibidi,Midfielder
Enzo Millot,Midfielder
Mateo Klimowicz,Midfielder
Nikolas Nartey,Midfielder
Tanguy Coulibaly,Midfielder
Roberto Massimo,Midfielder
Lilian Egloff,Forward
Ömer Faruk Beyaz,Midfielder
Naouirou Ahamada,Midfielder
Matej Maglica,Defender
Silas Katompa Mvumpa,Forward
