Player,role
George Timotheou,Defender
Daniel Caligiuri,Midfielder
Salif Sané,Defender
Bastian Oczipka,Defender
Naldo,Defender
Nabil Bentaleb,Midfielder
Franco Di Santo,Forward
Steven Skrzybski,Forward
Weston McKennie,Midfielder
Matija Nastasić,Defender
Ralf Fährmann,Goalkeeper
Breel Embolo,Forward
Omar Mascarell,Midfielder
Amine Harit,Forward
Yevhen Konoplyanka,Forward
Benjamin Stambouli,Midfielder
Mark Uth,Midfielder
Ahmed Kutucu,Forward
Alexander Nübel,Goalkeeper
Sebastian Rudy,Midfielder
Nassim Boujellab,Midfielder
Hamza Mendyl,Defender
Guido Burgstaller,Forward
Suat Serdar,Midfielder
Alessandro Schöpf,Midfielder
Abdul Baba Rahman,Defender
Jeffrey Bruma,Defender
Cedric Teuchert,Forward
Rabbi Matondo,Forward
Haji Wright,Forward
Jonas Carls,Midfielder
