Player,role
Daniel Didavi,Midfielder
Timo Baumgartl,Defender
Marc-Oliver Kempf,Defender
Ozan Kabak,Defender
Benjamin Pavard,Defender
Mario Gómez,Forward
Nicolás González,Forward
Steven Zuber,Midfielder
Gonzalo Castro,Forward
Borna Sosa,Defender
Dennis Aogo,Midfielder
Anastasios Donis,Forward
Christian Gentner,Midfielder
Santiago Ascacibar,Midfielder
Emiliano Insúa,Defender
Andreas Beck,Midfielder
Erik Thommy,Midfielder
Ron-Robert Zieler,Goalkeeper
Alexander Esswein,Forward
Holger Badstuber,Defender
Chadrac Akolo,Forward
Leon Dajaku,Midfielder
Pablo Maffeo,Defender
Berkay Özcan,Midfielder
Antonis Aidonis,Defender
Hans Nunoo Sarpei,Midfielder
