Player,role
Max Kruse,Forward
Milot Rashica,Midfielder
Maximilian Eggestein,Midfielder
Davy Klaassen,Midfielder
Nuri Şahin,Midfielder
Philipp Bargfrede,Midfielder
Yuya Osako,Forward
Jiří Pavlenka,Goalkeeper
Theodor Gebre Selassie,Defender
Niklas Moisander,Defender
Sebastian Langkamp,Defender
Claudio Pizarro,Forward
Ludwig Augustinsson,Defender
Miloš Veljković,Defender
Martin Harnik,Forward
Kevin Möhwald,Midfielder
Florian Kainz,Midfielder
Josh Sargent,Forward
Johannes Eggestein,Forward
Stefanos Kapino,Goalkeeper
Marco Friedl,Defender
Fin Bartels,Midfielder
Luca Plogmann,Goalkeeper
