Player,role
Kevin Stöger,Midfielder
Markus Suttner,Defender
Kaan Ayhan,Defender
Rouwen Hennings,Forward
Dodi Lukebakio,Forward
Kenan Karaman,Forward
Marvin Ducksch,Forward
Matthias Zimmermann,Defender
Benito Raman,Forward
Dawid Kownacki,Forward
Niko Giesselmann,Midfielder
Takashi Usami,Forward
Jean Zimmer,Midfielder
Andre Hoffmann,Defender
Marcin Kamiński,Defender
Marcel Sobottka,Midfielder
Adam Bodzek,Midfielder
Davor Lovren,Forward
Michael Rensing,Goalkeeper
Alfredo Morales,Midfielder
Oliver Fink,Midfielder
Jaroslav Drobný,Goalkeeper
Robin Bormuth,Defender
Aymen Barkok,Midfielder
