Player,role
Ignacio Camacho,Midfielder
Wout Weghorst,Forward
Maximilian Arnold,Midfielder
Admir Mehmedi,Midfielder
Robin Knoche,Defender
Gian-Luca Itter,Defender
Marcel Tisserand,Defender
William,Midfielder
John Brooks,Defender
Jérôme Roussillon,Midfielder
Koen Casteels,Goalkeeper
Renato Steffen,Midfielder
Josuha Guilavogui,Midfielder
Daniel Ginczek,Forward
Pavao Pervan,Goalkeeper
Yannick Gerhardt,Midfielder
Sebastian Jung,Defender
Josip Brekalo,Forward
Felix Uduokhai,Defender
Felix Klaus,Midfielder
Elvis Rexhbeçaj,Midfielder
Paul Verhaegh,Defender
John Yeboah,Forward
Yunus Malli,Midfielder
Jakub Błaszczykowski,Midfielder
