Player,role
Marko Grujić,Midfielder
Ondrej Duda,Midfielder
Jordan Torunarigha,Defender
Valentino Lazaro,Midfielder
Maximilian Mittelstädt,Defender
Niklas Stark,Defender
Fabian Lustenberger,Defender
Vedad Ibišević,Forward
Karim Rekik,Defender
Arne Maier,Midfielder
Marvin Plattenhardt,Defender
Salomon Kalou,Midfielder
Davie Selke,Forward
Rune Jarstein,Goalkeeper
Vladimír Darida,Midfielder
Javairô Dilrosun,Midfielder
Mathew Leckie,Midfielder
Per Ciljan Skjelbred,Midfielder
Lukas Klünter,Defender
Peter Pekarík,Defender
Palkó Dárdai,Forward
Pascal Köpke,Forward
Derrick Luckassen,Defender
Dennis Jastrzembski,Midfielder
Thomas Kraft,Goalkeeper
