Player,role
Jadon Sancho,Midfielder
Marco Reus,Midfielder
Thomas Delaney,Midfielder
Łukasz Piszczek,Defender
Axel Witsel,Midfielder
Raphaël Guerreiro,Defender
Paco Alcácer,Forward
Mario Götze,Forward
Dan-Axel Zagadou,Defender
Manuel Akanji,Defender
Abdou Diallo,Defender
Achraf Hakimi,Defender
Julian Weigl,Midfielder
Marcel Schmelzer,Defender
Roman Bürki,Goalkeeper
Mahmoud Dahoud,Midfielder
Marius Wolf,Defender
Jacob Bruun Larsen,Forward
Christian Pulišić,Forward
Maximilian Philipp,Forward
Shinji Kagawa,Midfielder
Ömer Toprak,Defender
Marwin Hitz,Goalkeeper
