Player,role
Kerem Demirbay,Midfielder
Ishak Belfodil,Forward
Andrej Kramarić,Forward
Benjamin Hübner,Defender
Florian Grillitsch,Defender
Joelinton,Midfielder
Nadiem Amiri,Midfielder
Pavel Kadeřábek,Defender
Nico Schulz,Defender
Reiss Nelson,Midfielder
Ermin Bičakčić,Defender
Dennis Geiger,Midfielder
Justin Hoogma,Defender
Stefan Posch,Defender
Joshua Brenet,Defender
Oliver Baumann,Goalkeeper
Ádám Szalai,Forward
Kevin Vogt,Defender
Leonardo Bittencourt,Midfielder
David Otto,Forward
Kasim Adams,Defender
Håvard Nordtveit,Defender
Alfons Amade,Midfielder
Christoph Baumgartner,Midfielder
Lukas Rupp,Midfielder
