Player,role
Marcel Halstenberg,Defender
Kevin Kampl,Midfielder
Timo Werner,Forward
Tyler Adams,Midfielder
Willi Orbán,Defender
Yussuf Poulsen,Forward
Emil Forsberg,Midfielder
Péter Gulácsi,Goalkeeper
Ibrahima Konaté,Defender
Lukas Klostermann,Defender
Diego Demme,Midfielder
Nordi Mukiele,Defender
Marcel Sabitzer,Midfielder
Dayot Upamecano,Defender
Amadou Haidara,Midfielder
Marcelo Saracchi,Defender
Jean-Kévin Augustin,Forward
Bruma,Forward
Matheus Cunha,Forward
Emile Smith Rowe,Midfielder
Stefan Ilsanker,Defender
Konrad Laimer,Midfielder
Yvon Mvogo,Goalkeeper
