Player,role
Julian Brandt,Midfielder
Kevin Volland,Forward
Kai Havertz,Forward
Leon Bailey,Forward
Charles Aránguiz,Midfielder
Jonathan Tah,Defender
Lars Bender,Defender
Wendell,Defender
Karim Bellarabi,Midfielder
Sven Bender,Defender
Julian Baumgartlinger,Midfielder
Aleksandar Dragović,Defender
Lucas Alario,Forward
Mitchell Weiser,Midfielder
Lukáš Hrádecký,Goalkeeper
Dominik Kohr,Midfielder
Tin Jedvaj,Defender
Ramazan Özcan,Goalkeeper
Isaac Kiese Thelin,Forward
Paulinho,Forward
Benjamin Henrichs,Midfielder
