Player,role
Thorgan Hazard,Midfielder
Jordan Beyer,Defender
Lars Stindl,Midfielder
Yann Sommer,Goalkeeper
Ibrahima Traoré,Forward
Tony Jantschke,Defender
Nico Elvedi,Defender
Jonas Hofmann,Midfielder
Matthias Ginter,Defender
Alassane Pléa,Midfielder
Josip Drmić,Forward
Tobias Strobl,Midfielder
Patrick Herrmann,Forward
Florian Neuhaus,Midfielder
Oscar Wendt,Defender
László Bénes,Midfielder
Raffael,Forward
Christoph Kramer,Midfielder
Michael Lang,Defender
Denis Zakaria,Midfielder
Michaël Cuisance,Midfielder
Fabian Johnson,Midfielder
