Player,role
Frederik Rønnow,Goalkeeper
Sébastien Haller,Forward
Luka Jović,Forward
Filip Kostić,Midfielder
Almamy Touré,Defender
Sebastian Rode,Midfielder
Gonçalo Paciência,Forward
Makoto Hasebe,Defender
Jonathan de Guzmán,Midfielder
Kevin Trapp,Goalkeeper
Martin Hinteregger,Defender
Ante Rebić,Forward
David Abraham,Defender
Lucas Torró,Midfielder
Marco Fabián,Midfielder
Timothy Chandler,Midfielder
Danny da Costa,Midfielder
Mijat Gaćinović,Midfielder
Simon Falette,Defender
Evan Ndicka,Defender
Marc Stendera,Midfielder
Jetro Willems,Defender
Carlos Salcedo,Defender
Gelson Fernandes,Midfielder
Danny Blum,Forward
Marco Russ,Defender
Allan,Midfielder
Taleb Tawatha,Defender
